#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321B273E5
#Date Time: 2025-02-12 22:40:57.159
#Start: 1 Hz
#Stop: 6000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.48223 V
#Offset: 0.000214102 V
#Relative: no
#Channel: Channel 2
#Range: 5.47775 V
#Offset: -3.26643e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.000000000000002,0.01878902918683609,-1.319085966028864,-0.180430802501931
1.059711567525179,0.005899906238777433,-1.356750285126641,-0.07278601688483377
1.122988606346669,0.007172821692824224,-1.353205671878048,-0.09558481498149263
1.190044016344544,0.006531210662841392,-1.347615809409727,-0.09090595129767109
1.261103409984432,0.006726259520819688,-1.345231540516828,-0.1100631496409008
1.336405871405949,0.007282675602423306,-1.345370481209189,-0.1127133032763119
1.416204760837448,0.006763982536030071,-1.346367911201315,-0.1045708487345891
1.500768567043671,0.007054953216961688,-1.344246324168729,-0.1399227266472516
1.590381810674363,0.0068131968968086,-1.341031585915727,-0.1406529658230511
1.685346001553258,0.007074920971009029,-1.344383885014426,-0.1161414336947431
1.785980653128291,0.00608379292647903,-1.346798851864144,-0.1236816487474925
1.892624357496221,0.007894130453269099,-1.344552838251303,-0.1612487463908181
2.005635924618652,0.006720518334293745,-1.345622759694656,-0.1626602221156617
2.125395589562439,0.007641012240234155,-1.346698213521423,-0.1742189680712301
2.252306291826311,0.006560415400999029,-1.343512655758315,-0.1634888922417019
2.386795031058076,0.007330529673647431,-1.344015135780469,-0.1996556798227402
2.529314303723858,0.007254669693529404,-1.344076254772756,-0.2025999107634107
2.680343625563061,0.007196191530938366,-1.341544567254156,-0.2253279577021488
2.840391144951548,0.006917109990456339,-1.34076124104867,-0.2357178919775436
3.009995352601238,0.006965382689359007,-1.345150448471978,-0.2347745194447697
3.189726893348553,0.006977348273528938,-1.341430976854016,-0.2448974666837529
3.380190486127608,0.00742725342449243,-1.341793909996817,-0.2833357390697913
3.582026958587982,0.006422965664889339,-1.343707994055373,-0.270533284643804
3.795915403202709,0.007370122105169357,-1.342129082209215,-0.312104173170209
4.022575462120908,0.007032741127332985,-1.343192719988735,-0.3158222057207283
4.262769748452456,0.00696667813405049,-1.342840898257552,-0.3343662900582558
4.517306412131462,0.006416917242819622,-1.342216414095822,-0.3540438199111406
4.787041858991361,0.008352135098670775,-1.339197178461386,-0.3613115978837129
5.072883632200373,0.00719976335017879,-1.344175082337828,-0.4220186360602156
5.375793465751871,0.007877831896911134,-1.341422088716733,-0.4122227135631107
5.696790520283514,0.006107381786675838,-1.341301147289445,-0.4664876525113186
6.036954812112218,0.007489408633856704,-1.341178755948343,-0.4716648882892187
6.3974308470221,0.007132941046236184,-1.340491400766941,-0.4910833284122802
6.779431471031704,0.007502599890185058,-1.339389865002823,-0.5497327786387558
7.184241951096524,0.006045528445538819,-1.339006157935513,-0.597431597100325
7.613224299476636,0.008175260445535385,-1.343425894585242,-0.5978444430713949
8.067821856319155,0.00636911821847138,-1.342770884975981,-0.6807771350711747
8.549564145873855,0.007554132503069907,-1.34316128898722,-0.6833714419284647
9.060072022681036,0.005912815900706541,-1.343045036027513,-0.7192756849350701
9.601063125046313,0.007246269211270578,-1.341267409915279,-0.760490734279756
10.174357654151,0.005951095902974988,-1.33904336868154,-0.8302305987777174
10.78188449824214,0.008193537890782332,-1.337112688429401,-0.8960798094176745
11.42568772250759,0.005770444316360655,-1.339187733976339,-0.923700590027579
12.10793344647168,0.007137878022180374,-1.34052563730117,-0.9833431508444335
12.83091713205102,0.007127997647182513,-1.340367841397193,-1.031867682726649
13.59707130679145,0.006714597875786864,-1.338527302458974,-1.094780696971
14.40897374827156,0.006114622279808477,-1.339361732692058,-1.204751723803639
15.26935615720999,0.007591044823796977,-1.33783669919911,-1.189213890879138
16.18111334845721,0.006648280610617568,-1.344466310677824,-1.264290254553458
17.14731299079614,0.006762121534645686,-1.341902104514105,-1.306903484399839
18.17120592832141,0.007867310807221358,-1.339354141242334,-1.520488679701053
19.25623711812429,0.005743573546527254,-1.337454342353274,-1.58992552789104
20.40605722108397,0.007262628002396728,-1.332858492273263,-1.647881093026897
21.62453488476333,0.006800026062135089,-1.344211278263252,-1.656912611489503
22.91576975973545,0.007939627317461759,-1.339129868406647,-1.858433918038244
24.2841062931353,0.006927117477399542,-1.334026680625611,-1.982132416704019
25.73414834584641,0.007018934441477203,-1.345450682529507,-2.041291120860016
27.27077468250234,0.007916992062781585,-1.337613473650384,-2.120883320000729
28.89915538642047,0.006212564878141274,-1.341100922294605,-2.345275249929301
30.6247692546973,0.007311482680516264,-1.345663743096053,-2.376852809077931
32.45342223199213,0.007817405723727451,-1.337929484568797,-2.598469443242685
34.39126694502082,0.005081040165170812,-1.344726426820922,-2.641811928553949
36.44482340348478,0.009050331371988813,-1.341878753812893,-3.002219644344024
38.62100093708508,0.006642296699659187,-1.347328453108083,-2.914920780670659
40.92712144242984,0.007905232896620288,-1.344617827978838,-3.202492769723143
43.37094401805057,0.007160797379204347,-1.351374037278419,-3.318616956712233
45.96069107041503,0.007356791614871985,-1.347280082334571,-3.530952234415679
48.70507597876992,0.00732537766915734,-1.334936227614115,-3.911862535412821
51.61333241189513,0.007296004628787732,-1.346219411477998,-3.997274895327507
54.69524539540741,0.006715624549027143,-1.352628224987545,-4.24874804569852
57.96118423414142,0.007167987880425067,-1.345390182234898,-4.653663407219568
61.42213740037759,0.006724201294971189,-1.36350159763442,-4.887009506157519
65.08974950530092,0.006703636665781643,-1.355651917894355,-5.122490010006452
68.97636047808355,0.00713721815308126,-1.34235797652434,-5.274112453443095
73.09504708441163,0.007212213424604541,-1.363689022961285,-5.66499414602788
77.45966692414839,0.007228114638253071,-1.351962233348528,-5.840693952699922
82.08490505616741,0.007047970571239555,-1.35169339229065,-6.302192876898459
86.98632340722646,0.007147310038090486,-1.365341927862815,-6.755166317845422
92.18041313112397,0.007003238904701178,-1.360537697694343,-7.059788005868882
97.68465009430174,0.007118051828324377,-1.375538361830952,-7.621369647317806
103.5175536745809,0.009763549346644451,-1.366875644394371,-7.985029549920114
109.6987490708619,0.007648049377771497,-1.360785413256875,-8.557321013738139
116.249033333434,0.007779202364962372,-1.378173414638912,-9.14535441510035
123.1904453370599,0.007284218661615879,-1.387827721894308,-9.501895525955376
130.5463399322605,0.007362441418985044,-1.363638000120951,-10.36060723255991
138.3414665242902,0.00760301157803049,-1.389488355887017,-10.74889335178398
146.6020523441875,0.007806392093884488,-1.396292056396798,-11.44240795964302
155.3558906920669,0.007903638437965583,-1.39127142205063,-12.01546345040319
164.6324344495603,0.0078109148741146,-1.411069704727108,-12.94415446366993
174.4628951760295,0.007793905005471405,-1.446618826271052,-13.54832437899617
184.8803481219707,0.007637057251972288,-1.421146652245969,-14.28873517577466
195.9198435129341,0.007739392873911937,-1.448686655166711,-15.25860633237329
207.6185244783786,0.007821652939092722,-1.445390946638586,-15.96930432732079
220.0157520222471,0.008442814845619748,-1.487537253728594,-17.27387664778294
233.1532374557261,0.007795232682587088,-1.466065801767668,-18.02918413344838
247.0751827377773,0.00857499887977179,-1.505738320780971,-19.23195995969573
261.8284291956195,0.008620441782589774,-1.523105409630333,-20.39570205020419
277.4626151255445,0.008143971403625463,-1.545296623458877,-21.61827232881735
294.0303428043259,0.00832795183212027,-1.576073621504137,-23.08354907690823
311.5873554731373,0.008496442032286566,-1.589173489729329,-24.17867485042819
330.1927248894628,0.009099722272831182,-1.616346872520007,-25.45944917032642
349.9090500780222,0.008410389018749935,-1.660164006259715,-27.26366091623709
370.8026679494266,0.008708509870196871,-1.680963804625104,-28.74340513416087
392.9438764952044,0.008655108959757159,-1.742106547366877,-30.61539815111368
416.4071713101526,0.008726323374618915,-1.796191828152762,-32.51875713666861
441.2714962378067,0.008290476686836717,-1.859948471438345,-34.89151220752889
467.6205089823463,0.008788212152722699,-1.900051131450778,-36.46960522905518
495.5428625806037,0.009179321030491339,-1.964486419097128,-38.38350304070064
525.1325036812044,0.009583947262642837,-2.039600063394462,-40.82398700583222
556.4889886344299,0.009143535546134236,-2.155571187833921,-43.29573140548739
589.717818456292,0.008882018348851722,-2.266788133184774,-45.94932404237493
624.9307937938452,0.009064363387710619,-2.369970007588468,-48.82380721919446
662.2463910860291,0.009057535568635621,-2.456474284285819,-51.13429135198885
701.7901611856666,0.008996807063303955,-2.661630579548958,-54.6130689371529
743.6951517838097,0.009737109372308582,-2.808533823337695,-57.90650004746651
788.1023550576956,0.00972212704517211,-2.983796859151021,-61.4832766766603
835.1611820484737,0.009835550687776029,-3.194572762451248,-65.08545533331471
885.0299653647683,0.01030471605287035,-3.449338047054949,-69.03270407787842
937.8764919034511,0.01024597861169414,-3.766517157504769,-73.34835151232951
993.8785673800205,0.0102833233986769,-3.968666700229223,-78.22157850922207
1053.224614567959,0.01137246097858687,-4.376957537992028,-82.09115410624594
1116.114307259911,0.01043499636275478,-4.760568455293048,-86.48181568883197
1182.759242083678,0.01039398198021938,-5.233267594821436,-91.70743753857188
1253.383650433384,0.01145030000334504,-5.950335070646172,-97.24409514685955
1328.22515291119,0.01173226362109132,-6.461972912087251,-103.5248821387544
1407.535558817886,0.01191748162266423,-7.24106132736433,-108.6716820540961
1491.581713382327,0.01226768311886541,-8.08689484325264,-115.677959794518
1580.646395580275,0.01165705635247021,-9.144038609106529,-122.6723230594803
1675.029269563395,0.01306704820042253,-10.42393196605062,-130.5032318768726
1775.047892899576,0.01403365115955907,-11.96718157742597,-138.3603441067062
1881.038785016874,0.01374359623442991,-13.89711990900812,-146.6062726526053
1993.358559445884,0.01278673339497031,-16.52898712805245,-155.0672340118964
2112.385123670127,0.01467368618606327,-20.24341118326132,-164.9601439249407
2238.518950621336,0.01588782099898611,-27.51970913550317,-172.8647722193458
2372.184426097749,0.01656771846039221,-42.83896443895714,6.878653326488934
